model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
o4-mini	54.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4o	67.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5	129.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-nano	7.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4o	9.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1	11.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-mini	15.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5.1	17.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
o4-mini	28.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5	82.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-nano	6.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4o	8.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1	11.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5.1	15.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-mini	16.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
o4-mini	35.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5	125.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-nano	7.6	2	3	5	0.6	0.4	0.6	0.24	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1	11.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-mini	14.1	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5.1	15.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
o4-mini	30.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4o	65.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5	109.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-nano	6.2	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4o	8.4	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1	11.9	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-5.1	16.3	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1-mini	17.8	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
o4-mini	47.3	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-5	124.1	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1-nano	7.3	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1	8.6	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4o	8.9	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1-mini	11.2	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-5.1	19.9	4	1	5	0.2	0.8	0.2	0.16000000000000003	multi_position_hiring_MS-001_20260224_230725
o4-mini	44.5	2	3	5	0.6	0.4	0.6	0.24	multi_position_hiring_MS-001_20260224_230725
gpt-5	140.7	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1-nano	6.5	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4o	8.3	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1-mini	10.2	1	4	5	0.8	0.2	0.8	0.16000000000000003	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1	15.6	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-5.1	16.4	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
o4-mini	41.9	4	1	5	0.2	0.8	0.2	0.16000000000000003	pipeline_with_communication_E2E-002_20260224_233216
gpt-5	134.1	4	0	4	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1-nano	7.8	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4o	8.8	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1	12.1	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1-mini	12.8	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-5.1	17.0	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
o4-mini	39.7	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-5	161.3	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1-nano	6.3	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4o	10.1	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1	11.1	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-5.1	12.8	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1-mini	13.2	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
o4-mini	38.8	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-5	96.5	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1-nano	5.8	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4o	6.7	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1	8.1	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1-mini	9.7	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-5.1	10.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
o4-mini	18.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-5	102.9	0	4	4	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1-nano	6.0	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4o	7.1	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1-mini	10.2	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-5.1	10.7	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1	11.5	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
o4-mini	28.9	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-5	89.8	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1-nano	6.3	3	2	5	0.4	0.6	0.4	0.24	function_based_random_selector_SRC-002_20260224_224846
gpt-4o	7.8	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1	8.0	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1-mini	12.5	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-5.1	15.5	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
o4-mini	52.0	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-5	109.0	4	0	4	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1-nano	8.2	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1	8.8	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1-mini	14.0	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-5.1	18.4	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
o4-mini	50.1	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4o	67.0	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-5	128.5	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1-nano	7.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4o	9.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1	10.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1-mini	12.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-5.1	16.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
o4-mini	34.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-5	73.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1-nano	5.8	0	5	5	1.0	0.0	1.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4o	7.2	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1	7.4	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1-mini	9.9	2	3	5	0.6	0.4	0.6	0.24	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-5.1	13.2	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
o4-mini	31.8	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-5	99.3	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1-nano	6.1	0	5	5	1.0	0.0	1.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4o	7.2	3	2	5	0.4	0.6	0.4	0.24	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1	10.1	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1-mini	10.5	0	5	5	1.0	0.0	1.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-5.1	17.5	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
o4-mini	28.9	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-5	179.5	1	0	1	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1-nano	6.9	0	5	5	1.0	0.0	1.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4o	7.7	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1	10.3	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-5.1	14.3	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
o4-mini	31.3	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1-mini	39.0	3	1	4	0.25	0.75	0.25	0.1875	function_based_round_robin_EVAL-001_20260216_203404
gpt-5	150.5	4	0	4	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1-nano	6.1	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4o	6.7	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1	8.5	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1-mini	11.2	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-5.1	13.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	multi_interview_scheduling_SCHED-001_20260216_214607
o4-mini	33.8	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-5	132.3	5	0	5	0.0	1.0	0.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4o	7.5	3	2	5	0.4	0.6	0.4	0.24	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1	9.8	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-mini	10.9	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-5.1	12.2	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-nano	26.1	1	4	5	0.8	0.2	0.8	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_214819
o4-mini	39.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-5	94.8	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-nano	6.8	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4o	7.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1	9.9	3	2	5	0.4	0.6	0.4	0.24	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1-mini	11.5	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-5.1	15.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
o4-mini	51.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-5	125.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1-nano	6.3	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4o	9.2	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1	10.8	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1-mini	11.4	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-5.1	13.8	3	2	5	0.4	0.6	0.4	0.24	multi_interview_scheduling_SCHED-001_20260216_215817
o4-mini	43.6	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-5	154.9	3	1	4	0.25	0.75	0.25	0.1875	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1-nano	6.9	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4o	8.4	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1	9.2	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1-mini	12.7	3	2	5	0.4	0.6	0.4	0.24	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-5.1	23.1	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
o4-mini	43.8	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-5	138.1	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1-nano	6.2	4	1	5	0.2	0.8	0.2	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4o	7.8	5	0	5	0.0	1.0	0.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1	9.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1-mini	9.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-5.1	15.4	1	4	5	0.8	0.2	0.8	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_220639
o4-mini	45.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-5	102.3	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1-nano	6.8	0	5	5	1.0	0.0	1.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4o	8.8	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1-mini	12.7	0	5	5	1.0	0.0	1.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-5.1	13.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1	25.0	3	2	5	0.4	0.6	0.4	0.24	bad_specialist_wrong_tool_EVAL-001_20260216_194834
o4-mini	43.1	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-5	180.1	1	1	2	0.5	0.5	0.5	0.25	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1-nano	7.1	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1	10.8	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1-mini	12.8	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-5.1	15.8	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
o4-mini	42.0	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4o	67.5	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-5	138.1	4	0	4	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1-nano	9.8	1	4	5	0.8	0.2	0.8	0.16000000000000003	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1-mini	14.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-5.1	18.1	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1	68.7	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
o4-mini	79.9	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4o	130.3	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-5	137.6	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1-nano	5.9	1	4	5	0.8	0.2	0.8	0.16000000000000003	specialist_tool_use_SCHED-001_20260216_162942
gpt-4o	7.6	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1	9.3	3	2	5	0.4	0.6	0.4	0.24	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1-mini	11.1	0	5	5	1.0	0.0	1.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-5.1	13.3	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
o4-mini	46.1	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-5	119.9	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1-nano	7.6	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4o	9.5	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1	10.9	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1-mini	11.1	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-5.1	13.9	5	0	5	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
o4-mini	55.7	5	0	5	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-5	105.2	4	0	4	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1-nano	7.7	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4o	9.0	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4.1	11.5	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-5.1	13.4	1	4	5	0.8	0.2	0.8	0.16000000000000003	market_research_driven_hiring_MKT-001_20260216_223038
